simulated time	num cells	num division	num death	wall time
0	1	1	8277	0.037112
60	1	0	0	9.6484
120	1	0	0	8.28675
180	1	0	0	9.02575
240	1	0	0	9.76943
300	1	0	0	8.40512
360	1	0	0	8.02726
420	1	0	0	9.47332
480	1	0	0	10.6889
540	1	0	0	8.78895
600	1	0	0	8.03554
660	1	0	0	7.68687
720	1	0	0	9.50716
780	1	0	0	8.40221
840	1	0	0	7.70225
900	1	0	0	7.69324
960	1	0	0	7.65335
1020	1	0	0	7.58633
1080	1	0	0	7.56515
1140	1	0	0	7.65122
1200	1	0	0	7.55159
1260	1	0	0	7.86547
1320	1	0	0	7.69309
1380	1	0	0	7.73403
1440	1	0	0	7.64774
1440.01	1	0	0	0.038112
